               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050825,            0.018796,                   0,                   0,                   0,                   0,                   0,            0.055009,            0.015999,                   0,              0.0001,              0.0001,              0.0991
                   1,            0.051804,            0.019175,                   0,                   0,                   0,                   0,                   0,            0.054641,            0.016159,                   0,           0.0002997,           0.0002997,              0.0973
                   2,            0.051524,            0.019078,                   0,                   0,                   0,                   0,                   0,            0.054227,            0.016385,                   0,          0.00049901,          0.00049901,            0.095499
                   3,            0.051684,            0.018898,                   0,                   0,                   0,                   0,                   0,            0.053107,            0.016918,                   0,          0.00069792,          0.00069792,            0.093698
                   4,             0.05096,            0.018899,                   0,                   0,                   0,                   0,                   0,            0.051956,            0.017382,                   0,          0.00089644,          0.00089644,            0.091896
                   5,            0.049917,            0.022361,                   0,                   0,                   0,                   0,                   0,            0.050797,            0.017727,                   0,           0.0010946,           0.0010946,            0.090095
                   6,            0.049376,            0.020614,                   0,                   0,                   0,                   0,                   0,             0.04999,            0.017614,                   0,           0.0012923,           0.0012923,            0.088292
                   7,            0.049985,            0.020282,                   0,                   0,                   0,                   0,                   0,            0.049349,            0.017219,                   0,           0.0014896,           0.0014896,             0.08649
                   8,            0.050262,            0.015827,                   0,                   0,                   0,                   0,                   0,            0.049238,            0.017008,                   0,           0.0016865,           0.0016865,            0.084687
                   9,            0.049117,            0.019201,                   0,                   0,                   0,                   0,                   0,            0.048906,            0.016518,                   0,           0.0018831,           0.0018831,            0.082883
                  10,            0.048684,            0.018316,                   0,                   0,                   0,                   0,                   0,            0.048683,            0.015932,                   0,           0.0020792,           0.0020792,            0.081079
                  11,            0.049824,            0.015706,                   0,                   0,                   0,                   0,                   0,            0.048524,            0.015307,                   0,            0.002275,            0.002275,            0.079275
                  12,            0.049678,            0.015537,                   0,                   0,                   0,                   0,                   0,             0.04845,             0.01458,                   0,           0.0024703,           0.0024703,             0.07747
                  13,            0.048801,              0.0169,                   0,                   0,                   0,                   0,                   0,            0.048449,            0.013813,                   0,           0.0026653,           0.0026653,            0.075665
                  14,            0.048921,            0.018674,                   0,                   0,                   0,                   0,                   0,             0.04847,            0.013181,                   0,           0.0028598,           0.0028598,             0.07386
                  15,            0.049924,            0.011998,                   0,                   0,                   0,                   0,                   0,            0.048506,            0.012605,                   0,            0.003054,            0.003054,            0.072054
                  16,            0.049021,            0.014563,                   0,                   0,                   0,                   0,                   0,            0.048523,            0.012143,                   0,           0.0032477,           0.0032477,            0.070248
                  17,            0.049738,            0.011858,                   0,                   0,                   0,                   0,                   0,            0.048562,            0.011668,                   0,           0.0034411,           0.0034411,            0.068441
                  18,            0.048644,            0.016528,                   0,                   0,                   0,                   0,                   0,            0.048597,            0.011237,                   0,           0.0036341,           0.0036341,            0.066634
                  19,             0.04847,            0.016792,                   0,                   0,                   0,                   0,                   0,            0.048628,            0.010828,                   0,           0.0038266,           0.0038266,            0.064827
                  20,            0.048493,            0.013891,                   0,                   0,                   0,                   0,                   0,            0.048633,            0.010545,                   0,           0.0040188,           0.0040188,            0.063019
                  21,            0.049341,            0.011545,                   0,                   0,                   0,                   0,                   0,            0.048644,            0.010247,                   0,           0.0042106,           0.0042106,            0.061211
                  22,            0.048972,             0.01118,                   0,                   0,                   0,                   0,                   0,            0.048657,           0.0099543,                   0,            0.004402,            0.004402,            0.059402
                  23,            0.048748,            0.012984,                   0,                   0,                   0,                   0,                   0,            0.048643,           0.0097583,                   0,            0.004593,            0.004593,            0.057593
                  24,            0.049277,            0.012486,                   0,                   0,                   0,                   0,                   0,            0.048629,           0.0095475,                   0,           0.0047836,           0.0047836,            0.055784
                  25,            0.048844,             0.01279,                   0,                   0,                   0,                   0,                   0,            0.048596,           0.0094285,                   0,           0.0049738,           0.0049738,            0.053974
                  26,            0.048621,            0.014177,                   0,                   0,                   0,                   0,                   0,            0.048563,           0.0092458,                   0,           0.0051636,           0.0051636,            0.052164
                  27,            0.048511,            0.014559,                   0,                   0,                   0,                   0,                   0,            0.048563,           0.0092561,                   0,            0.005353,            0.005353,            0.050353
                  28,            0.048083,            0.011798,                   0,                   0,                   0,                   0,                   0,            0.048516,           0.0091528,                   0,            0.005542,            0.005542,            0.048542
                  29,            0.048945,            0.011402,                   0,                   0,                   0,                   0,                   0,            0.048461,           0.0090867,                   0,           0.0057306,           0.0057306,            0.046731
                  30,            0.048459,            0.012443,                   0,                   0,                   0,                   0,                   0,            0.048461,           0.0090872,                   0,           0.0059188,           0.0059188,            0.044919
                  31,            0.048358,             0.01266,                   0,                   0,                   0,                   0,                   0,            0.048424,           0.0089914,                   0,           0.0061067,           0.0061067,            0.043107
                  32,            0.048935,            0.010064,                   0,                   0,                   0,                   0,                   0,            0.048366,           0.0089316,                   0,           0.0062941,           0.0062941,            0.041294
                  33,            0.048206,            0.013738,                   0,                   0,                   0,                   0,                   0,            0.048366,           0.0089424,                   0,           0.0064811,           0.0064811,            0.039481
                  34,            0.048344,            0.010926,                   0,                   0,                   0,                   0,                   0,            0.048267,           0.0090166,                   0,           0.0066677,           0.0066677,            0.037668
                  35,            0.048471,            0.011626,                   0,                   0,                   0,                   0,                   0,            0.048118,           0.0092346,                   0,            0.006854,            0.006854,            0.035854
                  36,            0.048544,            0.011257,                   0,                   0,                   0,                   0,                   0,            0.048118,           0.0092458,                   0,           0.0070398,           0.0070398,             0.03404
                  37,            0.048253,            0.014224,                   0,                   0,                   0,                   0,                   0,            0.047943,           0.0095514,                   0,           0.0072253,           0.0072253,            0.032225
