 ,X,Y
1,0.354,0.356
2,0.369,0.337
3,0.413,0.342
4,0.426,0.322
5,0.442,0.274
6,0.473,0.286
7,0.493,0.315
8,0.404,0.326
9,0.396,0.360
10,0.388,0.324
11,0.695,0.467
12,0.650,0.755
13,0.632,0.732
14,0.578,0.727
15,0.690,0.720
16,0.597,0.691
17,0.746,0.688
18,0.684,0.682
19,0.632,0.679
20,0.547,0.661
21,0.567,0.656
22,0.488,0.648
23,0.554,0.647
24,0.674,0.647
25,0.522,0.646
26,0.603,0.640
27,0.744,0.635
28,0.545,0.630
29,0.623,0.616
30,0.540,0.587
31,0.438,0.571
32,0.483,0.568
33,0.683,0.561
34,0.512,0.553
35,0.739,0.525
36,0.787,0.518
37,0.469,0.513
38,0.498,0.511
39,0.709,0.508
40,0.677,0.491
41,0.420,0.473
42,0.390,0.465
43,0.473,0.465
44,0.440,0.422
45,0.465,0.375
46,0.441,0.376
47,0.478,0.344
48,0.708,0.786
49,0.696,0.815
50,0.818,0.597
51,0.841,0.593
52,0.735,0.716
53,0.712,0.747
54,0.734,0.685
55,0.753,0.675
56,0.708,0.697
57,0.707,0.688
58,0.621,0.671
59,0.655,0.723
60,0.649,0.664
61,0.582,0.616
62,0.617,0.587
63,0.662,0.623
64,0.654,0.547
65,0.620,0.557
66,0.606,0.545
67,0.635,0.534
68,0.658,0.507
69,0.633,0.498
70,0.663,0.475
71,0.558,0.551
72,0.521,0.511
73,0.497,0.460
74,0.516,0.458
75,0.440,0.493
76,0.452,0.586
77,0.412,0.575
78,0.385,0.566
79,0.349,0.485
80,0.339,0.435
81,0.329,0.404
82,0.443,0.541
83,0.424,0.541
84,0.510,0.612
85,0.461,0.623
86,0.443,0.632
87,0.708,0.614
88,0.611,0.650
89,0.689,0.604
90,0.691,0.575
91,0.738,0.602
92,0.740,0.570
93,0.767,0.706
94,0.811,0.578
95,0.792,0.566
96,0.783,0.551
97,0.378,0.509
98,0.475,0.490
99,0.488,0.393
100,0.402,0.421
101,0.370,0.422
102,0.392,0.380
103,0.320,0.435
104,0.345,0.525
105,0.338,0.361
106,0.336,0.516
107,0.354,0.561
108,0.550,0.715
109,0.519,0.699
110,0.811,0.498
111,0.644,0.458
